No,山名,標高,登頂回数,YAMAP link,難易度ランク,エントリーコースお勧め山,GPS,市町村・島,年,シカ,月,備考,分県登山ガイド（2008）,分県登山ガイド（2016）,四国の1000m峰（2015）,四国百山,百名山,愛媛ゆうゆう山歩き
226,黒森山,"1,154",1,https://yamap.com/activities/23372854,3,,,松山市,2023,〇,4月,,〇,〇,〇,,,★
227,菊ヶ森,914,1,https://yamap.com/activities/23456299,3,,,久万高原町,2023,〇,4月,,,,,,,★
228,餓鬼ヶ森,954,1,https://yamap.com/activities/23456299,3,,,久万高原町,2023,〇,4月,,,,,,,★
229,船野山,412,1,https://yamap.com/activities/23610620,3,,,東温市,2023,〇,4月,,,,,,,
230,木久ヶ森,752,1,https://yamap.com/activities/23615484,3,,,西条市,2023,〇,4月,,,,,,,
231,黒滝山,809,1,https://yamap.com/activities/23615484,3,,,西条市,2023,〇,4月,,,,,,,
232,奥之城山,420,2,https://yamap.com/activities/15945836,1,,,松山市,2023,,4月,,,,,,,
233,天狗岳,"1,982",2,https://yamap.com/activities/17465823,2,,,久万高原町,2023,,5月,,〇,〇,〇,,,
234,石鎚山,"1,972",4,https://yamap.com/activities/19748541,2,〇,,久万高原町,2023,,5月,,〇,〇,〇,★,☆,★
235,善神山,"1,094",1,https://yamap.com/activities/24526430,3,,,東温市,2023,,5月,,,,,,,
236,前善神山,"1,070",1,https://yamap.com/activities/24526430,3,,,東温市,2023,〇,5月,,,,,,,
237,五葉が森,841,1,https://yamap.com/activities/24842919,3,,,今治市,2023,,6月,,,,,,,
238,冠岳,"1,380",1,https://yamap.com/activities/26580294,4,,,久万高原町,2023,〇,8月,,,,〇,,,
239,東赤石山,"1,710",2,https://yamap.com/activities/20086190,3,,,新居浜市,2023,〇,9月,,〇,〇,〇,★,☆,★
240,八巻山,"1,698",2,https://yamap.com/activities/20086190,3,,,新居浜市,2023,〇,9月,,,,,,,
241,ベツソ山,266,1,https://yamap.com/activities/27393055,3,,,伊予市,2023,,10月,,,,,,,
242,歯朶谷山,314,1,https://yamap.com/activities/27393055,3,,,伊予市,2023,,10月,,,,,,,
243,丸山,624,1,https://yamap.com/activities/27410763,3,,,今治市,2023,〇,10月,,,,,,,
