mountain_no,mountain_name,classification,summit_candidate_id,grounding_assisted_candidate_score,grounding_distance_m,grounding_match_status,candidate_lat,candidate_lon,candidate_ele_m,mountain_elevation_m,track_name,grounding_reason_codes
98,積善山,grounding_response_without_coordinate,summit-candidate:76a5e492c9dcf980,0.56,,grounding_unavailable,34.2566278,133.1474902,363.7359939346231,370,積善山,grounding_response_without_coordinate
99,鉢巻山,grounding_far_from_all_candidates,summit-candidate:c4169cdcaf61f31a,0.448,2841.1,grounding_contradicted_or_unrelated,34.2604083,133.178604,132.84324070749756,142,鉢巻山,grounding_far_from_candidate
100,立石山,fallback_review_required,summit-candidate:50aa5073a99759cf,0.736,331.5,far_grounding_candidate,34.280645,133.1726806,133.6903994266386,139,立石山,grounding_municipality_mismatch
101,鷲ヶ頭山,fallback_review_required,summit-candidate:159deb385560c198,0.736,363.8,far_grounding_candidate,34.2396526,133.0209828,436.9143046126708,436,安神山・鷲ヶ頭山,grounding_municipality_mismatch
102,安神山,grounding_far_from_all_candidates,summit-candidate:159deb385560c198,0.304,1677.1,grounding_contradicted_or_unrelated,34.2396526,133.0209828,436.9143046126708,267,安神山・鷲ヶ頭山,grounding_far_from_candidate
103,篠山,grounding_far_from_all_candidates,summit-candidate:c8a7a1f1d1dad353,0.504,10046.5,grounding_contradicted_or_unrelated,33.0558602,132.6590657,1061.6229039079428,1065,篠山,grounding_far_from_candidate
104,横山(横山城址),grounding_response_without_coordinate,summit-candidate:43911aa413390192,0.63,,grounding_unavailable,33.9200756,132.807533,449.0333333333333,453,横山(横山城址),grounding_response_without_coordinate
105,鞍瀬ノ頭,grounding_far_from_all_candidates,summit-candidate:846b096132c533d6,0.448,5289,grounding_contradicted_or_unrelated,33.7578996,133.086527,1879.8966666666665,1889,石鎚山・西ノ冠岳・面河の頭・二ノ森・鞍瀬ノ頭,grounding_far_from_candidate
106,二ノ森,grounding_far_from_all_candidates,summit-candidate:bca203164e26ce6a,0.448,4759,grounding_contradicted_or_unrelated,33.7585064,133.093322,1924.4866666666667,1930,石鎚山・西ノ冠岳・面河の頭・二ノ森・鞍瀬ノ頭,grounding_far_from_candidate
107,面河の頭,grounding_far_from_all_candidates,summit-candidate:846b096132c533d6,0.4,2934.6,grounding_contradicted_or_unrelated,33.7578996,133.086527,1879.8966666666665,1866,石鎚山・西ノ冠岳・面河の頭・二ノ森・鞍瀬ノ頭,grounding_far_from_candidate
108,西ノ冠岳,grounding_far_from_all_candidates,summit-candidate:846b096132c533d6,0.4,2554.4,grounding_contradicted_or_unrelated,33.7578996,133.086527,1879.8966666666665,1890,石鎚山・西ノ冠岳・面河の頭・二ノ森・鞍瀬ノ頭,grounding_far_from_candidate
109,西黒森,grounding_far_from_all_candidates,summit-candidate:db28fcca36deb720,0.408,2643.5,grounding_contradicted_or_unrelated,33.7943958,133.1932944,1892.6599999999999,1861,男山・瓶ヶ森・西黒森,grounding_far_from_candidate
110,小富士,grounding_far_from_all_candidates,summit-candidate:75832271d4e4d0ba,0.448,1177.8,grounding_contradicted_or_unrelated,33.8816318,132.6714828,281.5,282,小富士,grounding_far_from_candidate
111,龍石山,grounding_response_without_coordinate,summit-candidate:5f001ac124f82ef6,0.21,,grounding_unavailable,33.8685926,132.7153244,41.080000000000005,32,西港山・大丸山・港山,grounding_response_without_coordinate
