mountain_no,mountain_name,summit_candidate_id,grounding_refined_score,grounding_bucket,grounding_distance_m,grounding_consensus,grounding_confidence,location_stability_bucket,location_stability_refined_score,candidate_lat,candidate_lon,candidate_ele_m,elevation_diff_m,name_tier,grounding_refined_review_priority,track_name
95,"勝山",summit-candidate:91cacd7deced8470,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.844404,132.7665578,129.5,1.5,strong,medium,"勝山"
96,"姫草",summit-candidate:dc456a72b89d4d52,0.69,grounding_weakened,21433.1,single_cluster_consensus,0.94,location_uncertain_keep,0.75,33.4707047,132.8970608,1272,2,strong,deprioritized,"姫草"
97,"牛城",summit-candidate:c7ff156edb321d12,0.62,grounding_weakened,21437.8,single_cluster_consensus,0.96,location_uncertain_keep,0.68,33.4674336,132.9161606,1345.5,3.5,strong,deprioritized,"牛城"
98,"積善山",summit-candidate:76a5e492c9dcf980,0.68,grounding_neutral,,no_evidence,,missing_location_evidence,0.68,34.2566278,133.1474902,363.7,6.3,strong,high,"積善山"
99,"鉢巻山",summit-candidate:50aa5073a99759cf,0.68,grounding_neutral,1007.2,single_cluster_consensus,0.95,missing_location_evidence,0.68,34.280645,133.1726806,133.7,8.3,strong,high,"立石山"
100,"立石山",summit-candidate:50aa5073a99759cf,0.814,grounding_weakly_supported,331.5,single_cluster_consensus,0.94,missing_location_evidence,0.68,34.280645,133.1726806,133.7,5.3,strong,high,"立石山"
101,"鷲ヶ頭山",summit-candidate:159deb385560c198,0.807,grounding_weakly_supported,363.8,single_cluster_consensus,0.99,missing_location_evidence,0.68,34.2396526,133.0209828,436.9,0.9,strong,high,"安神山・鷲ヶ頭山"
102,"安神山",summit-candidate:a92a94d8b5e0fb90,0.519,grounding_weakly_supported,903.5,single_cluster_consensus,0.97,missing_location_evidence,0.5,34.2432829,133.0072567,156,111,strong,medium,"安神山・鷲ヶ頭山"
103,"篠山",summit-candidate:c8a7a1f1d1dad353,0.69,grounding_weakened,10046.5,single_cluster_consensus,0.99,location_uncertain_keep,0.75,33.0558602,132.6590657,1061.6,3.4,strong,deprioritized,"篠山"
104,"横山(横山城址)",summit-candidate:43911aa413390192,0.85,grounding_neutral,,no_coordinates,,location_strong_match,0.85,33.9200756,132.807533,449,4,strong,medium,"横山(横山城址)"
